,symbol,instrument_token,date,open,high,low,close,volume
0,ABB,3329,2025-07-23,5771.5,5788.0,5675.0,5711.0,186980
1,ABB,3329,2025-07-24,5711.0,5734.5,5655.0,5699.0,116292
2,ABB,3329,2025-07-25,5699.0,5710.0,5610.5,5643.0,340538
3,ABB,3329,2025-07-28,5640.0,5644.0,5525.0,5545.5,265335
4,ABB,3329,2025-07-29,5545.0,5592.0,5478.0,5579.0,209954
5,ABB,3329,2025-07-30,5610.0,5610.0,5470.0,5554.0,331867
6,ABB,3329,2025-07-31,5510.0,5574.5,5489.5,5510.0,255793
7,ABB,3329,2025-08-01,5539.0,5539.0,5360.5,5387.5,382061
8,ABB,3329,2025-08-04,5310.0,5364.0,5014.5,5092.5,1957165
9,ABB,3329,2025-08-05,5070.0,5099.0,5019.5,5084.0,614211
10,ABB,3329,2025-08-06,5124.0,5124.0,5024.5,5097.0,385429
11,ABB,3329,2025-08-07,5092.5,5140.0,5017.0,5118.5,355953
12,ABB,3329,2025-08-08,5143.5,5143.5,5005.5,5022.0,348746
13,ABB,3329,2025-08-11,5057.0,5122.5,5002.5,5047.0,429040
14,ABB,3329,2025-08-12,5079.5,5089.5,5017.0,5071.5,273262
15,ABB,3329,2025-08-13,5097.5,5102.0,5038.5,5087.0,231709
16,ABB,3329,2025-08-14,5100.0,5105.5,5023.5,5030.0,237754
17,ABB,3329,2025-08-18,5090.0,5090.0,5003.5,5037.5,307068
18,ABB,3329,2025-08-19,5038.0,5082.0,5007.5,5068.0,204663
19,ABB,3329,2025-08-20,5084.0,5140.5,5070.0,5121.5,312054
20,ABB,3329,2025-08-21,5150.0,5195.0,5112.0,5141.5,377717
21,ABB,3329,2025-08-22,5170.0,5170.0,5051.0,5063.0,219900
22,ABB,3329,2025-08-25,5100.0,5113.5,5045.0,5100.5,246352
23,ABB,3329,2025-08-26,5100.5,5109.5,5011.0,5022.0,482397
24,ABB,3329,2025-08-28,5022.0,5039.5,4953.0,5000.5,335387
25,ABB,3329,2025-08-29,5003.0,5060.5,4939.5,4999.0,251338
26,ABB,3329,2025-09-01,5042.0,5140.5,5017.6,5127.4,242505
27,ABB,3329,2025-09-02,5127.4,5174.5,5097.0,5148.2,306762
28,ABB,3329,2025-09-03,5150.0,5209.9,5148.2,5188.4,213167
29,ABB,3329,2025-09-04,5220.0,5221.8,5145.0,5162.8,350954
30,ABB,3329,2025-09-05,5162.8,5185.2,5070.0,5117.4,259197
31,ABB,3329,2025-09-08,5140.0,5187.3,5097.6,5108.3,101582
32,ABB,3329,2025-09-09,5111.0,5150.0,5091.0,5131.9,150868
33,ABB,3329,2025-09-10,5129.8,5195.0,5121.0,5161.9,184147
34,ABB,3329,2025-09-11,5181.7,5237.0,5157.1,5218.1,178386
35,ABB,3329,2025-09-12,5224.0,5265.0,5201.0,5248.6,196396
36,ABB,3329,2025-09-15,5248.6,5383.3,5241.2,5338.8,435154
37,ABB,3329,2025-09-16,5370.0,5376.9,5316.6,5349.0,154462
38,ABB,3329,2025-09-17,5375.6,5415.8,5331.7,5385.8,196332
39,ABB,3329,2025-09-18,5410.1,5471.3,5396.0,5436.0,293576
40,ABB,3329,2025-09-19,5458.8,5464.7,5418.0,5436.9,272034
41,ABB,3329,2025-09-22,5430.0,5455.3,5341.0,5362.8,155891
42,ABB,3329,2025-09-23,5360.2,5375.4,5285.0,5298.7,167342
43,ABB,3329,2025-09-24,5298.0,5349.8,5223.6,5237.3,137979
44,ABB,3329,2025-09-25,5237.0,5265.0,5184.0,5200.7,308529
45,ABB,3329,2025-09-26,5200.9,5210.0,5121.0,5173.4,348241
46,ABB,3329,2025-09-29,5173.4,5246.0,5167.1,5207.8,228230
47,ABB,3329,2025-09-30,5201.0,5232.6,5175.1,5183.3,215173
48,ABB,3329,2025-10-01,5185.0,5208.0,5143.0,5199.0,94280
49,ABB,3329,2025-10-03,5190.0,5208.5,5148.5,5183.5,291382
50,ABB,3329,2025-10-06,5190.5,5244.5,5176.0,5218.0,156474
51,ABB,3329,2025-10-07,5233.0,5343.0,5209.5,5219.5,382453
52,ABB,3329,2025-10-08,5236.5,5236.5,5101.0,5128.5,399870
53,ABB,3329,2025-10-09,5120.0,5162.0,5075.0,5146.5,212517
54,ABB,3329,2025-10-10,5151.0,5210.0,5147.5,5186.0,180079
55,ABB,3329,2025-10-13,5160.0,5175.5,5101.0,5147.5,284296
56,ABB,3329,2025-10-14,5169.5,5169.5,5081.5,5119.5,299352
57,ABB,3329,2025-10-15,5119.5,5228.0,5097.5,5173.5,218559
58,ABB,3329,2025-10-16,5190.0,5260.0,5077.5,5212.0,542569
59,ABB,3329,2025-10-17,5208.5,5227.0,5176.0,5202.0,145812
60,ABB,3329,2025-10-20,5228.0,5273.5,5203.5,5231.5,141485
61,ABB,3329,2025-10-21,5248.0,5262.0,5220.0,5240.0,26961
62,ABB,3329,2025-10-23,5244.0,5279.5,5165.0,5181.5,333500
63,ABB,3329,2025-10-24,5198.0,5210.0,5151.5,5181.0,245669
64,ABB,3329,2025-10-27,5198.0,5240.0,5172.0,5238.0,72330
65,ABB,3329,2025-10-28,5260.0,5275.0,5141.5,5175.5,236636
66,ABB,3329,2025-10-29,5175.5,5300.0,5175.5,5289.0,193168
67,ABB,3329,2025-10-30,5297.5,5306.0,5237.0,5279.0,121312
68,ADANIENT,6401,2025-07-23,2600.7,2625.9,2593.5,2614.5,316424
69,ADANIENT,6401,2025-07-24,2615.4,2624.2,2595.0,2608.4,253782
70,ADANIENT,6401,2025-07-25,2605.0,2617.0,2544.1,2550.1,424612
71,ADANIENT,6401,2025-07-28,2549.0,2585.0,2512.6,2522.3,428409
72,ADANIENT,6401,2025-07-29,2529.0,2557.4,2507.5,2547.9,424781
73,ADANIENT,6401,2025-07-30,2547.9,2552.6,2525.0,2532.9,262063
74,ADANIENT,6401,2025-07-31,2509.9,2520.0,2422.6,2430.7,1457616
75,ADANIENT,6401,2025-08-01,2425.0,2444.9,2333.0,2350.9,976341
76,ADANIENT,6401,2025-08-04,2360.0,2374.7,2338.2,2363.6,576426
77,ADANIENT,6401,2025-08-05,2370.0,2370.0,2316.0,2328.2,576742
78,ADANIENT,6401,2025-08-06,2333.9,2347.9,2296.0,2300.3,631582
79,ADANIENT,6401,2025-08-07,2290.0,2295.0,2202.8,2249.8,1529410
80,ADANIENT,6401,2025-08-08,2247.0,2260.9,2164.8,2178.1,2552736
81,ADANIENT,6401,2025-08-11,2196.0,2302.0,2183.0,2283.4,2376286
82,ADANIENT,6401,2025-08-12,2280.1,2314.7,2267.0,2288.2,1075526
83,ADANIENT,6401,2025-08-13,2299.0,2314.9,2245.4,2280.1,833679
84,ADANIENT,6401,2025-08-14,2288.0,2304.0,2267.7,2281.6,998109
85,ADANIENT,6401,2025-08-18,2309.6,2360.0,2300.0,2333.6,988629
86,ADANIENT,6401,2025-08-19,2339.9,2395.6,2314.1,2388.4,1069432
87,ADANIENT,6401,2025-08-20,2380.0,2406.0,2372.1,2387.1,780025
88,ADANIENT,6401,2025-08-21,2387.1,2397.0,2371.4,2377.2,441867
89,ADANIENT,6401,2025-08-22,2369.9,2376.3,2321.0,2324.9,584211
90,ADANIENT,6401,2025-08-25,2335.7,2348.4,2300.0,2302.9,542455
91,ADANIENT,6401,2025-08-26,2304.0,2309.3,2249.4,2272.0,1071550
92,ADANIENT,6401,2025-08-28,2271.9,2327.9,2255.0,2275.2,907868
93,ADANIENT,6401,2025-08-29,2283.0,2289.7,2240.0,2244.7,795699
94,ADANIENT,6401,2025-09-01,2259.0,2288.0,2252.1,2284.2,425639
95,ADANIENT,6401,2025-09-02,2291.0,2302.0,2264.0,2274.2,481894
96,ADANIENT,6401,2025-09-03,2285.0,2293.0,2263.1,2288.7,443629
97,ADANIENT,6401,2025-09-04,2309.9,2317.3,2275.0,2278.8,392697
98,ADANIENT,6401,2025-09-05,2275.0,2293.5,2248.0,2281.4,443010
99,ADANIENT,6401,2025-09-08,2290.0,2333.9,2286.0,2310.9,542811
100,ADANIENT,6401,2025-09-09,2320.0,2325.0,2297.0,2311.6,369431
101,ADANIENT,6401,2025-09-10,2330.0,2345.9,2325.1,2340.2,390490
102,ADANIENT,6401,2025-09-11,2348.0,2418.7,2340.2,2398.8,2111888
103,ADANIENT,6401,2025-09-12,2416.9,2421.6,2387.1,2392.0,533971
104,ADANIENT,6401,2025-09-15,2392.0,2402.8,2378.1,2383.4,298129
105,ADANIENT,6401,2025-09-16,2410.0,2415.8,2388.0,2399.4,752979
106,ADANIENT,6401,2025-09-17,2417.0,2417.0,2391.0,2402.0,514354
107,ADANIENT,6401,2025-09-18,2414.5,2438.0,2388.4,2402.0,703730
108,ADANIENT,6401,2025-09-19,2495.0,2579.0,2466.1,2524.0,7965135
109,ADANIENT,6401,2025-09-22,2535.0,2659.0,2522.1,2629.5,7022985
110,ADANIENT,6401,2025-09-23,2642.6,2695.0,2593.0,2676.4,5610022
111,ADANIENT,6401,2025-09-24,2655.0,2676.0,2614.4,2619.8,1720785
112,ADANIENT,6401,2025-09-25,2625.0,2647.9,2567.0,2576.4,1489682
113,ADANIENT,6401,2025-09-26,2572.8,2605.0,2535.0,2543.7,1037808
114,ADANIENT,6401,2025-09-29,2543.7,2555.0,2505.0,2509.5,1012402
115,ADANIENT,6401,2025-09-30,2522.0,2535.0,2490.6,2505.9,712592
116,ADANIENT,6401,2025-10-01,2518.4,2603.4,2472.1,2592.7,1573485
117,ADANIENT,6401,2025-10-03,2595.0,2612.9,2564.4,2589.9,917651
118,ADANIENT,6401,2025-10-06,2589.1,2599.8,2562.6,2573.5,654955
119,ADANIENT,6401,2025-10-07,2580.7,2617.3,2533.1,2542.2,1120230
120,ADANIENT,6401,2025-10-08,2562.0,2565.0,2500.0,2524.1,1063357
121,ADANIENT,6401,2025-10-09,2535.0,2559.0,2522.2,2542.4,651703
122,ADANIENT,6401,2025-10-10,2552.0,2565.0,2538.8,2550.9,690142
123,ADANIENT,6401,2025-10-13,2529.1,2542.1,2504.0,2527.4,645483
124,ADANIENT,6401,2025-10-14,2538.9,2538.9,2485.2,2517.0,673048
125,ADANIENT,6401,2025-10-15,2535.0,2561.4,2527.3,2532.8,759772
126,ADANIENT,6401,2025-10-16,2544.8,2579.7,2540.9,2557.6,1020102
127,ADANIENT,6401,2025-10-17,2560.0,2577.2,2543.1,2549.4,682968
128,ADANIENT,6401,2025-10-20,2561.3,2579.0,2537.1,2548.1,747349
129,ADANIENT,6401,2025-10-21,2554.9,2562.0,2542.3,2549.9,101019
130,ADANIENT,6401,2025-10-23,2559.9,2577.8,2540.9,2545.8,852445
131,ADANIENT,6401,2025-10-24,2554.8,2554.8,2497.7,2504.2,473765
132,ADANIENT,6401,2025-10-27,2504.2,2514.6,2487.1,2492.8,478055
133,ADANIENT,6401,2025-10-28,2495.0,2516.0,2479.1,2494.4,626988
134,ADANIENT,6401,2025-10-29,2500.0,2600.0,2495.5,2537.4,1526734
135,ADANIENT,6401,2025-10-30,2550.0,2559.4,2511.8,2526.9,783328
136,APOLLOHOSP,40193,2025-07-23,7251.0,7390.0,7244.0,7373.5,508883
137,APOLLOHOSP,40193,2025-07-24,7373.0,7485.5,7349.5,7363.5,454916
138,APOLLOHOSP,40193,2025-07-25,7365.0,7483.5,7343.5,7468.5,434232
139,APOLLOHOSP,40193,2025-07-28,7480.0,7502.0,7323.0,7356.5,240740
140,APOLLOHOSP,40193,2025-07-29,7356.5,7469.0,7310.5,7456.0,336770
141,APOLLOHOSP,40193,2025-07-30,7460.0,7474.5,7400.0,7450.0,266922
142,APOLLOHOSP,40193,2025-07-31,7378.0,7525.0,7355.0,7498.0,342605
143,APOLLOHOSP,40193,2025-08-01,7538.0,7538.0,7331.5,7351.5,215243
144,APOLLOHOSP,40193,2025-08-04,7387.0,7388.0,7295.0,7308.0,260996
145,APOLLOHOSP,40193,2025-08-05,7312.0,7342.0,7235.5,7274.0,282791
146,APOLLOHOSP,40193,2025-08-06,7270.0,7279.0,7164.5,7189.5,296623
147,APOLLOHOSP,40193,2025-08-07,7164.0,7197.5,7053.5,7170.0,407857
148,APOLLOHOSP,40193,2025-08-08,7170.0,7198.5,7066.0,7084.5,327102
149,APOLLOHOSP,40193,2025-08-11,7101.0,7320.0,7020.5,7259.0,498598
150,APOLLOHOSP,40193,2025-08-12,7259.0,7285.0,7205.0,7236.5,342006
151,APOLLOHOSP,40193,2025-08-13,7403.0,7840.0,7389.0,7808.5,2291645
152,APOLLOHOSP,40193,2025-08-14,7830.0,7859.5,7749.0,7821.5,673142
153,APOLLOHOSP,40193,2025-08-18,7850.0,7917.5,7806.0,7822.5,633876
154,APOLLOHOSP,40193,2025-08-19,7830.5,7864.5,7800.0,7823.5,384598
155,APOLLOHOSP,40193,2025-08-20,7830.0,7918.0,7812.5,7883.0,452843
156,APOLLOHOSP,40193,2025-08-21,7893.0,7947.0,7853.0,7926.5,482016
157,APOLLOHOSP,40193,2025-08-22,7895.0,7980.0,7852.0,7922.5,843648
158,APOLLOHOSP,40193,2025-08-25,7926.0,7950.0,7838.5,7851.0,402979
159,APOLLOHOSP,40193,2025-08-26,7827.5,7834.0,7720.5,7793.5,671659
160,APOLLOHOSP,40193,2025-08-28,7755.0,7828.0,7714.5,7728.0,418353
161,APOLLOHOSP,40193,2025-08-29,7670.0,7744.0,7586.0,7610.0,481590
162,APOLLOHOSP,40193,2025-09-01,7595.5,7684.5,7595.5,7671.5,255894
163,APOLLOHOSP,40193,2025-09-02,7631.5,7699.0,7631.5,7682.0,195907
164,APOLLOHOSP,40193,2025-09-03,7685.0,7775.5,7656.0,7736.0,321268
165,APOLLOHOSP,40193,2025-09-04,7790.0,7918.5,7751.0,7900.0,386286
166,APOLLOHOSP,40193,2025-09-05,7900.0,7915.0,7795.5,7804.5,228324
167,APOLLOHOSP,40193,2025-09-08,7834.5,7849.5,7740.5,7786.5,314960
168,APOLLOHOSP,40193,2025-09-09,7755.0,7848.0,7755.0,7825.5,303494
169,APOLLOHOSP,40193,2025-09-10,7805.0,7939.0,7805.0,7929.0,337313
170,APOLLOHOSP,40193,2025-09-11,7875.5,7941.5,7860.0,7879.5,161041
171,APOLLOHOSP,40193,2025-09-12,7875.0,7915.0,7841.5,7874.5,117761
172,APOLLOHOSP,40193,2025-09-15,7900.0,7956.0,7796.0,7816.5,214626
173,APOLLOHOSP,40193,2025-09-16,7805.5,7862.0,7805.5,7852.5,194911
174,APOLLOHOSP,40193,2025-09-17,7869.0,7911.0,7860.0,7888.0,249447
